date,holiday
2018-01-01,New Year's Day
2018-01-06,Epiphany
2018-03-30,Good Friday
2018-04-02,Easter Monday
2018-05-01,May Day
2018-05-10,Ascension Day
2018-12-06,Independence Day
2018-12-25,Christmas Day
2018-12-26,Boxing Day
2019-01-01,New Year's Day
2019-01-06,Epiphany
2019-04-19,Good Friday
2019-04-22,Easter Monday
2019-05-01,May Day
2019-05-30,Ascension Day
2019-12-06,Independence Day
2019-12-25,Christmas Day
2019-12-26,Boxing Day
2020-01-01,New Year's Day
2020-01-06,Epiphany
2020-04-10,Good Friday
2020-04-13,Easter Monday
2020-05-01,May Day
2020-05-21,Ascension Day
2020-12-06,Independence Day
2020-12-25,Christmas Day
2020-12-26,Boxing Day
2021-01-01,New Year's Day
2021-01-06,Epiphany
2021-04-02,Good Friday
2021-04-05,Easter Monday
2021-05-13,Ascension Day
2021-12-06,Independence Day
2022-01-06,Epiphany
2022-04-15,Good Friday
2022-04-18,Easter Monday
2022-05-26,Ascension Day
2022-12-06,Independence Day
2022-12-26,Boxing Day
2023-01-06,Epiphany
2023-04-07,Good Friday
2023-04-10,Easter Monday
2023-05-01,May Day
2023-05-18,Ascension Day
2023-12-06,Independence Day
2023-12-25,Christmas Day
2023-12-26,Boxing Day
2024-01-01,New Year's Day
2024-03-29,Good Friday
2024-04-01,Easter Monday
2024-05-01,May Day
2024-05-09,Ascension Day
2024-12-06,Independence Day
2024-12-25,Christmas Day
2024-12-26,Boxing Day
